Round,SecondsIntoRound,SecondsLastRoundAction,cmTotHitsR-X1,cmTotHitsL-X1,cmTotHitsM-X1,Hits-Recvd-X1,Hits-Lnd-X1,Hits-Mssd-X1,cmTotHitsR-X2,cmTotHitsL-X2,cmTotHitsM-X2,Hits-Recvd-X2,Hits-Lnd-X2,Hits-Mssd-X2,Time,FighterActionReactions.X1,FightersActionsReactions.X2,Notes
1,,,,,,,,,,,,,,,5:00,,,Tate
1,,,,,,,,,,,,,,,4:59,,,Tate
1,,,,,,,,,,,,,,,4:58,,,Tate
1,,,,,,,,,,,,,,,4:57,,,Tate
1,,,,,,,,,,,,,,,4:56,,,Tate
1,,,,,,,,,,,,,,,4:55,,,Tate
1,,,,,,,,,,,,,,,4:54,,,Tate
1,,,,,,,,,,,,,,,4:53,,,Tate
1,,,,,,,,,,,,,,,4:52,,,Tate
1,,,,,,,,,,,,,,,4:51,,,Tate
1,,,,,,,,,,,,,,,4:50,,misses R push kick,Tate
1,,,,,,,,,,,,,,,4:49,,,Tate
1,,,,,,,,,,,,,,,4:48,,,Tate
1,,,,,,,,,,,,,,,4:47,,,Tate
1,,,,,,,,,,,,,,,4:46,,misses R cross to face,Tate
1,,,,,,,,,,,,,,,4:45,,,Tate
1,,,,,,,,,,,,,,,4:44,,,Tate
1,,,,,,,,,,,,,,,4:43,misses L jab,,Tate
1,,,,,,,,,,,,,,,4:42,,,Tate
1,,,,,,,,,,,,,,,4:41,misses R mt kick to low L lead leg,,Tate
1,,,,,,,,,,,,,,,4:40,,,Tate
1,,,,,,,,,,,,,,,4:39,,,Tate
1,,,,,,,,,,,,,,,4:38,,,Tate
1,,,,,,,,,,,,,,,4:37,,,Tate
1,,,,,,,,,,,,,,,4:36,,,Tate
1,,,,,,,,,,,,,,,4:35,,,Tate
1,,,,,,,,,,,,,,,4:34,,,Tate
1,,,,,,,,,,,,,,,4:33,,,Tate
1,,,,,,,,,,,,,,,4:32,,,Tate
1,,,,,,,,,,,,,,,4:31,,,Tate
1,,,,,,,,,,,,,,,4:30,,,Tate
1,,,,,,,,,,,,,,,4:29,,,Tate
1,,,,,,,,,,,,,,,4:28,,,Tate
1,,,,,,,,,,,,,,,4:27,,,Tate
1,,,,,,,,,,,,,,,4:26,,,Tate
